Issue Key,Severity,Type,Component/File,Line,Rule,Message,Effort/Technical Debt
283db3c9-7b8e-49b5-9693-1c3b6826120d,MAJOR,CODE_SMELL,Login/CapaDatos/GenericDAL.cs,32,external_roslyn:CS0618,'SqlCommand' is obsolete: 'Use the Microsoft.Data.SqlClient package instead.',0min
7b365aa1-c77d-4ffa-8f2d-09d922426055,MAJOR,CODE_SMELL,Login/CapaDatos/GenericDAL.cs,32,external_roslyn:CS0618,'SqlCommand' is obsolete: 'Use the Microsoft.Data.SqlClient package instead.',0min
dfc33d3c-1b2e-4d13-873f-be0fd2e4074b,MAJOR,VULNERABILITY,Login/CapaDatos/GenericDAL.cs,32,csharpsquid:S2077,Use a parameterized query instead of string formatting.,20min
553505ec-6c36-47fd-9838-48e7bd243b4f,MAJOR,CODE_SMELL,Login/CapaDatos/GenericDAL.cs,35,external_roslyn:CS0618,'SqlDataReader' is obsolete: 'Use the Microsoft.Data.SqlClient package instead.',0min
b5a29508-2e09-4f02-ba67-60334a64c30c,MINOR,VULNERABILITY,Dockerfile,16,docker:S6471,"This image runs with ""root"" or ""containerAdministrator"" as the default user. Make sure it is safe here.",15min
b5c6111d-1484-416c-98d8-dcda1d7bcb7a,MAJOR,CODE_SMELL,Login/Login/Data/DatabaseInitializer.cs,9,external_roslyn:CS0618,'SqlConnectionStringBuilder' is obsolete: 'Use the Microsoft.Data.SqlClient package instead.',0min
21a9094d-775f-4a58-82fc-e04f59e3a8ac,MAJOR,CODE_SMELL,Login/Login/Data/DatabaseInitializer.cs,16,external_roslyn:CS0618,'SqlConnection' is obsolete: 'Use the Microsoft.Data.SqlClient package instead.',0min
89d54575-b0f0-4efa-a673-98146b1ce522,MAJOR,VULNERABILITY,Login/Login/Data/DatabaseInitializer.cs,21,csharpsquid:S2077,Use a parameterized query instead of string formatting.,20min
3189d309-a2c7-4e94-b37a-07299876837d,MAJOR,CODE_SMELL,Login/Login/Data/DatabaseInitializer.cs,36,external_roslyn:CS0618,'SqlConnection' is obsolete: 'Use the Microsoft.Data.SqlClient package instead.',0min
72f4f99a-854b-4875-837d-1b1c0624ccbe,INFO,CODE_SMELL,Login/Login/Data/DatabaseInitializer.cs,53,external_roslyn:CA1861,Prefer 'static readonly' fields over constant array arguments if the called method is called repeatedly and is not mutating the passed array,0min
